,position,company_name,description,requirement,preferred,like
0,서비스 백엔드 엔지니어,롯데헬스케어,"• 개인 맞춤형 건강관리 서비스를 제공하는 롯데헬스케어 플랫폼 신규 개발
• 회원, 상품, 주문, 정산 등 e커머스 기능의 백엔드 서비스 개발
• 유전자 분석 정보, 건강 정보 등 맞춤형 건강 관리를 위한 시스템 연동 및 서비스 개발
• 대용량 트래픽에도 안정적인 서비스를 위한 시스템 설계 및 개발","• 1년 이상의 서비스 개발 및 운영 경험자
• 본인이 사용한 기술과 환경에 대한 깊은 이해 보유자
• Kotlin, Spring Boot 를 활용한 Backend Application 개발 경험자
• Spring Data, Spring Batch 사용 경험자
• AWS 의 다양한 Service 사용 경험자
• Kubernetes 환경에서 개발, 운영 경험자
• Infra, Application 장애 대응 경험자
• 부하 테스트, 어플리케이션 & 쿼리 튜닝 경험자
• 요구사항의 정의와 시스템의 안정성을 위해 의미 있는 테스트 코드를 작성하는 분
• 검색과 기록에서 멈추지 않고 구현과 실험으로 지식을 습득하는 분
• 목표를 달성하는 전략을 다양하게 고민하고 실패를 대비하는 분
• 개발 환경과 조직문화의 발전에 기여한 경험이 있는 분
• 반복되는 작업을 자동화 하는 분
• 기술 스택 선정에 합리적인 기준을 두고 조직의 상황에 맞게 선택하는 분","• JavaScript, TypeScript, Golang, Python 경험자
• Azure, GCP 사용 경험자
• 검색서비스 개발 경험자
• Cassandra, HBase, MongoDB 사용 경험자
• Kafka와 RabbitMQ 등 MQ 사용 경험자
• Terraform, Helm 사용 경험자
• Web Frontend, Native Client, DevOps 경력 보유자
• 외부 협력사와 협업 경험 보유자
• 레거시 시스템 재설계, 재개발 경험자
• 대규모 트래픽, 대용량 데이터 처리에 대한 경험자
• 오픈소스 개발/기여 경험자",158
1,[인텔리전스랩스] 백엔드 개발자,넥슨코리아(NEXON),"• 모바일/웹 서비스의 서버 개발 및 운영
• 모니터링을 통한 이슈 트래킹 및 지속적인 성능 개선
* 개인별 경험 및 역량 확인 후, 적절한 팀/업무 배정 진행","• Java/Python/Node.js/C# 등 1가지 이상 언어 기반 백엔드 개발 경험이 있으신 분
• Spring 또는 그 외 웹 프레임워크에 대한 경험이 있으신 분 
• RESTful API에 대한 설계 및 개발 경험을 보유하신 분
• 형상 관리 시스템을 사용한 협업 경험이 있으신 분
• 기본적인 CS 지식 (DB, 네트워크 등) 에 대한 이해도가 있으신 분","• 새로운 기술과 트렌드에 대한 관심이 많으신 분
• 성능 튜닝에 대한 노하우가 있거나 상응하는 경험을 보유하신 분
• 대용량 분산 처리 시스템을 직접 만들어본 경험이나 운영 경험이 있으신 분
• AWS, GCP 등 클라우드 기반의 서비스 개발 경험이 있으신 분
• 더 나은 코드를 위해 항상 노력하고 다양한 직군의 동료들과의 협업을 즐기시는 분",205
2,신입 백엔드 엔지니어 (JAVA),스탠바이랩,"• 스탠바이랩 웹 애플리케이션 및 자동화 시스템을 위한 백엔드 설계/개발/운영
• 신뢰성 있는 시스템 유지 위한 연구/개발
• Git, Slack, Notion을 이용한 협업","• Java를 이용한 백엔드 개발 경험
• RDBMS 또는 NoSQL에 대한 기본 이해
• Git을 사용한 협업 경험","• Linux/Unix 사용경험
• 컴퓨터공학 전공자에 준하는 CS지식 보유",293
3,"[200억↑투자] 백엔드 개발자 (Spring, Python, MSA)",페이타랩(패스오더),"【페이타랩 프로덕트팀】

프로덕트팀은 패스오더 유저와 점주님을 연결하며 고객지향적인 프로덕트를 만드는 팀이에요. 프로덕트의 성장을 위해 각 팀에서 실현하고자 하는 수많은 아이디어와 프로젝트를 유기적인 의사소통을 통해 흡수하고 구현해내고, 이를 위해 불필요하고 복잡한 업무 프로세스를 지양하며 실행 중심의 효율적인 업무 문화를 갖고 있어요.

“개발의 마지막 관문”이라는 마음가짐으로 안정적이면서도 혁신을 일으킬 수 있는 프로덕트를 개발하기 위해 수단과 방법을 가리지 않고 학습하고 실행하는 팀이에요. 엔지니어, 프로덕트 오너, 프로덕트 디자이너, 데브옵스 등 프로덕트를 실현하는 과정 자체에서 즐거움을 느끼는 사람들이 모여있으며 그 이상으로 비즈니스 임팩트가 가장 중요하다는 점에 공감하는 사람들이 모여있어요.


【오시면 이런 업무를 하게 되실 거예요!】 

• 패스오더 서비스와 함께 성장하기 위해 필요한 기능 개발 및 성능 최적화 업무를 수행해요.
• 클라우드, 컨테이너 기반으로 마이크로 서비스를 구성하고 기능을 추가해요.
• 기존 시스템의 아키텍처와 코드를 개선하고 확장성 있는 시스템을 만들어요.
• 실제 사용자들의 요구사항을 분석하고 이를 해결하기 위한 서비스를 설계하고 구현해요.


【개발환경】
 
• 사용언어: Python, Java, Kotlin
• 개발환경 및 도구: inteliJ, Flask, Spring, Git, Jenkins, Docker, AWS, Kubernetes, PostgreSQL","【이런 분을 찾고 있어요!】

• Python, Kotlin, Java 중 하나 이상의 언어를 활용하여 개발한 경험이 있으신 분
• 주어진 문제에 대해 여러가지 솔루션을 고민하고 최선의 선택을 하실 수 있는 분
• 팀원들과 원활한 커뮤니케이션을 위해 고민하고, 자기 자신을 발전시킨 경험이 있으신 분
• 단순히 주어진 개발을 해내는 것보다, 주도적으로 문제를 발견하고 분석해 솔루션을 제안할 수 있는 분","【이런 분이면 더 좋아요!】

- MSA를 이해하고 개발 및 설계를 경험해 보신 분
- 서비스의 도메인을 이해하고, 도메인 주도 설계 경험이 있으신 분
- 팀과 함께 성장하며 지식을 공유하는 문화를 지향하시는 분
- 요구사항 분석 및 다른 개발자와 협업을 위한 원활한 커뮤니케이션 능력을 가지신 분",469
4,[신입] 백엔드 엔지니어,토기,"• 자사 서비스 관련 Kotlin Spring 기반 Restful API 백엔드 서버 개발 및 유지 보수
• 자사 서비스 관련 개발 기획","• Spring(Java/Kotlin), Rails, Node.js, django, flask 중 하나 이상을 활용한 서버 개발 경험이 있으신 분
• 자유롭게 의견을 내고 지적으로 정직한 토론을 좋아하시는 분","• Kotlin Spring을 활용한 서비스 개발 경험이 있으신 분
• AWS 등 클라우드 컴퓨팅 관련 경험이 있으신 분
• Docker 등 컨테이너 가상화 플랫폼 관련 경험이 있으신 분
• PyTorch, SageMaker를 이용한 AI 서버 배포 경험이 있으신 분",50
5,백엔드 엔지니어(Java/Spring),뮤즈라이브(Muzlive),"• Java(Spring boot) 서버 유지보수 및 개발
• Spring boot, MySQL, Redis를 주력으로 사용하며 AWS를 이용합니다.
• KiT Album 운영 서비스의 사용성 개선
• 안정적인 시스템 운영을 위한 지속적인 코드품질 관리와 설계 개선","• Spring boot 경력 1년 이상
• 문제를 찾고 해결하는데 재미를 느끼시는 분
• 자기가 만든 앱이 사람들에게 쓰일 때 뿌듯하신 분
• 성장하는 회사에서 같이 개발문화를 만들어나가실 분
• 능동적으로 개발 관련 문서 탐독 및 지식 습득이 원활하신 분
• AWS, Git 유경험자
• 자기 코드를 남에게 설명하는게 어렵지 않으신 분","• Backend Production 환경 실무 경험
• KPOP 팬덤 문화에 대한 이해
• 오픈소스 프로젝트 참여 경험
• 대용량 트래픽, 대용량 데이터 핸들링 경험이 있으신 분
• 영어를 통한 개발 정보 습득이 원활하신 분",64
6,백엔드개발 (빌링플랫폼),위버스컴퍼니(WEVERSE COMPANY),"• Weverse Company 서비스의 결제 플랫폼 백엔드 개발 및 운영
• 글로벌 서비스에 기반한 대용량 트래픽 처리
• 스파이크성 대용량 트래픽 처리
• 결제 관련 서비스 백엔드 개발 및 운영","• 학력/전공 무관
• 3년 이상 Java 또는 Kotlin 백엔드 개발 경력이 있는 분
• 대용량 트래픽 처리를 경험한 분
• RESTful API 설계 및 개발 운영을 경험한 분
• Linux platform에서의 웹서비스 개발 및 운영을 경험한 분
• 타 직군과 원활한 커뮤니케이션이 가능한 분
• 코드 리뷰에 대한 열린 마음을 가진 분
• 개발 자체를 좋아하고, 그 과정에서 동료들과 함께 성장한다는 믿음이 있는 분

[필요역량] 
• 목표의식을 갖고, 주도적으로 업무를 추진하는 능력
• 긍정적 관점으로 상황과 업무를 바라보는 마인드
• 다양하고 통합된 시각에서 바라볼 수 있는 폭넓은 관점
• 다양한 유관부서/관계자와 협업할 수 있는 협력적 사고
• 이해와 존중을 바탕으로 한 유연한 커뮤니케이션 능력
• 적극적이고 선제적인 문제해결 능력

[과제 및 테스트]
• 실무/리더 면접 진행시 코딩 테스트 및 코드 리뷰 진행","• 서비스를 처음부터 개발해 본 경험이 있는 분
• PG, 페이먼트 서비스 개발 경험이 있는 분
• Spring Framework에 대한 높은 이해가 있는 분 
• AWS에서 서비스 운영 및 구축 경험이 있는 분",14
7,[커머스서비스개발팀] 백엔드 개발자,씨제이올리브영(CJ올리브영),"• 올리브영 온라인몰의 전시 및 검색 영역 Service 개발
• 전시 및 검색 영역 신규 프로젝트 수행
• 신규 Architecture 적용을 통한 레거시 시스템 개선 및 확장
• 문제 해결을 위한 가설 수립 및 검증","• 3년 이상의 백엔드 애플리케이션 개발 경력이 있으신 분
• Java 를 이용한 기능 개발 경험이 있으신 분
• 아키텍처 디자인에 대한 이해가 있으신 분
• 잠재적인 문제를 해결을 위해 가설을 수립하고 수행한 경험이 있으신 분
• 실시간 트래픽 처리와 분산 시스템에 관한 이해가 있으신 분
• PO, BPO, UI/UX 등의 유관부서와 원활한 커뮤니케이션이 가능한 분
• 올리브영의 성장과 함께 성공 경험을 만들어 가고 싶으신 분","• Spring Boot 를 이용한 프로젝트 수행 경험이 있으신 분
• Kotlin을 이용한 기능 개발 경험이 있으신 분
• Docker, Kubernetes 등 컨테이너 기반 기술을 이용한 배포/운영 경험이 있으신 분
• ORM(JPA/Hibernate) 및 Mongo DB 등의 NoSQL 환경에서의 설계/개발/운영 경험이 있으신 분
• Microservices 설계 경험
• 기술 부채를 보면 잠 못 이루시는 분

[기타 안내사항] 
※ 전형 안내
서류전형 - 1차면접(Live Coding) - 온라인 인성검사 - 2차면접(Whiteboard test) - Reference Check - 처우전형/건강검진 - 합격

*올리브영 개발직군 채용 시 기술 테스트 전형이 진행됩니다. (10월부터 시행)


*직무에 따라 면접 방식 및 프로세스가 변경될 수 있습니다.
*채용에 합격하시는 경우 3개월의 수습기간을 적용합니다.

*지원서 내용 중 허위사실이 확인될 경우 채용이 취소될 수 있습니다.
*서류 접수는 하나의 공고에만 지원가능합니다. (중복지원 불가)
*서류전형은 마감일자 23:59:00에 마감되오니 시간에 유의하여 지원 부탁드립니다.",15
8,[카카오헤어샵] 백엔드 개발자 (미들-시니어),와이어트,"• 뷰티 플랫폼 서비스 개선/개발
• 뷰티 플랫폼 백엔드 아키텍쳐 개선
• 신규 서비스 카테고리 개발","• 개발 경력 3년 이상 또는 이에 준하는 경험이 있는 분
• Java/Spring 프로젝트에 능숙하신 분
• 문제를 정의하고, 해결하는 것에 재미를 느끼는 분
• 비개발직군과 의사소통이 어렵지 않은 분
• JPA / Mysql / Redis / Git / Docker 
• 상용 서비스 개발 및 유지보수 경험자","• 뷰티 프로젝트 경험이 있는 분
• 커머스 프로젝트 경험이 있는 분 
• Agile 방법론 경험이 있는 분
• MSA 경험이 있는 분
• 고성능, 고가용성, 대용량 시스템 개발 및 운영 경험이 있는 분
• 새로운 기술 습득과 지식 공유에 즐거움을 느끼시는 분
• 능동적으로 문제점을 찾고 해결하는 것을 즐기시는 분",18
9,백엔드 개발자,핀다(FINDA),"[핀다 백엔드 개발자는 이렇게 일해요!]
• 핀다는 ‘좋은 프로덕트’라는 하나의 목표를 가지고 Software Engineer, Product Owner, Product 
 Designer 등 여러 포지션의 동료들이 협업하는 목적조직 형태로 일합니다.
• 핀다의 백엔드 개발자는 프로덕트에 대한 전문성과 애정을 가지고 하나의 PT(Product Team) 내에서 주도적으로 일하고 있어요.
• 2~6주 단위의 스프린트 주기로 일하며, 프로덕트의 속도와 품질 사이 협의점을 고민하여 최선의 결과를 도출합니다.
• 전사 OKR을 달성하기 위해 동료들과 Why, What, How에 대한 싱크를 맞춤과 동시에, 본인의 업무에는 오너십을 가지고 몰두할 수 있어요.

[주요업무]
핀다는 1000만의 뱅킹 서비스를 꿈꾸고 있어요. 우리의 고객들이 마이데이터를 기반으로 가장 좋은 조건과 상품을 이용할 수 있도록 다양한 금융기관들과 제휴해 뱅킹 서비스를 제공하고자 해요!
• 핀다 금융상품 서비스의 서버를 설계하고 개발 및 고도화를 진행해요.
• 사용자 맞춤형 금융 상품을 제공하기 위해 마이데이터 인프라를 개발하고 운영해요.
• 핀다와 제휴하고 있는 외부 금융사와의 연동을 위해 API를 개발하고 운영합니다.
• 현재 운영되고 있는 핀다 서비스의 확장성, 안정성을 위한 방안을 고민하고 실행해요.

*핀다 PG(Product Group) 개발자로 입사하실 경우, 금융상품 PG, 현금그로스PG, 마이비즈 PG 중 후보자님의 이력과 경험을 잘 발휘하실 수 있는 팀을 매치해드리고 있어요. 인터뷰를 통해 핀다와의 Fit을 맞춰보세요!","• 사용자 중심으로 사고하고 프로덕트 개발에 적용하는 분
• 더 좋은 프로덕트를 만들기 위해 주도적, 적극적으로 시도하는 분
• Java 또는 Kotlin 등 객체 지향 언어에 대한 전문성을 보유하신 분
• Java/Spring Boot/JPA 기반 REST API 서버 개발 경험이 있으신 분
• RDB / NoSQL를 활용하여 서비스를 만든 경험이 있는 분
• Software Engineer, Product Owner, Product Designer 등 다양한 포지션의 동료들과 협업하여 • 공동의 목표를 달성하는 과정을 즐기는 분
• 3년에서 7년의 백엔드 개발 경험을 가지신 분","• 테스트 코드 작성 및 코드 리뷰에 적극적인 분
• 서비스를 운영하는 것 뿐만 아니라 지속적인 구조 개선을 위해 노력하시는 분
• 비동기/동시성/병렬/분산 처리에 대해 깊게 고민하고 서비스에 적용한 경험이 있는 분
• 서비스의 초기 설계부터 운영, 유지보수까지의 전 과정에 대한 이해가 있는 분

[핀다 백엔드에서 사용하고 있는 기술]
• Java, Spring Boot, Maven/Gradle, JPA(Hibernate), queryDSL, Spring batch
• MySQL, Aurora, Redis, Mongodb, Kafka
• Git, Jenkins, ArgoCD, ELK, Grafana

[채용여정]
서류 전형 ＞ 1차 인터뷰 ＞ 2차 인터뷰 ＞ 3차 인터뷰 ＞ 레퍼런스 체크 ＞ 처우 협의 ＞ 최종 합격
• 지원자 경력 및 채용 현황에 따라 일부 절차가 변경될 수 있습니다.
• 산업기능요원 지원 가능합니다. (보충역 신규 편입, 전직)",36
